ResultTable(results=
                                     reconstructor            test_data                     measure_values                                                                                                                                                                 misc
task_ind sub_task_ind                                                                                                                                                                                                                                                          
         21            DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 27.71, ssim: 0.8723}    {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.00056234132519, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 8000}}
         22            DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 27.71, ssim: 0.8723}    {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.00056234132519, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 9000}}
         23            DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 27.71, ssim: 0.8723}   {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.00056234132519, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 10000}}
         24            DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 27.23, ssim: 0.8602}               {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.001, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 5000}}
         25            DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 27.23, ssim: 0.8606}               {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.001, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 6000}}
         26            DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 27.24, ssim: 0.8607}               {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.001, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 7000}}
         27            DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 27.24, ssim: 0.8607}               {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.001, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 8000}}
         28            DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 27.24, ssim: 0.8607}               {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.001, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 9000}}
         29            DeepImagePriorReconstructor  validation part 0:5  mean: {psnr: 27.24, ssim: 0.8607}              {'hp_choice': {'lr': 0.001, 'scales': 5, 'gamma': 0.001, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 4, 4), 'iterations': 10000}}
)
