ResultTable(results=
                           reconstructor            test_data                     measure_values                                                                                                                                                                                                                misc
task_ind sub_task_ind                                                                                                                                                                                                                                                                                               
0        0             Learned PD (0.1%)  validation part 0:5  mean: {psnr: 28.59, ssim: 0.8879}    {'hp_choice': {'lr1': 0.001, 'lr2': 1e-05, 'scales': 5, 'gamma': 0.0001291549665014884, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'initial_iterations': 5000, 'iterations': 100}}
         1             Learned PD (0.1%)  validation part 0:5   mean: {psnr: 28.73, ssim: 0.889}    {'hp_choice': {'lr1': 0.001, 'lr2': 1e-05, 'scales': 5, 'gamma': 0.0001291549665014884, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'initial_iterations': 5000, 'iterations': 300}}
         2             Learned PD (0.1%)  validation part 0:5   mean: {psnr: 28.77, ssim: 0.888}    {'hp_choice': {'lr1': 0.001, 'lr2': 1e-05, 'scales': 5, 'gamma': 0.0001291549665014884, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'initial_iterations': 5000, 'iterations': 500}}
         3             Learned PD (0.1%)  validation part 0:5  mean: {psnr: 28.77, ssim: 0.8853}   {'hp_choice': {'lr1': 0.001, 'lr2': 1e-05, 'scales': 5, 'gamma': 0.0001291549665014884, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'initial_iterations': 5000, 'iterations': 1000}}
         4             Learned PD (0.1%)  validation part 0:5   mean: {psnr: 28.74, ssim: 0.883}   {'hp_choice': {'lr1': 0.001, 'lr2': 1e-05, 'scales': 5, 'gamma': 0.0001291549665014884, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'initial_iterations': 5000, 'iterations': 1500}}
         5             Learned PD (0.1%)  validation part 0:5  mean: {psnr: 28.71, ssim: 0.8809}   {'hp_choice': {'lr1': 0.001, 'lr2': 1e-05, 'scales': 5, 'gamma': 0.0001291549665014884, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'initial_iterations': 5000, 'iterations': 2000}}
         6             Learned PD (0.1%)  validation part 0:5  mean: {psnr: 28.68, ssim: 0.8793}   {'hp_choice': {'lr1': 0.001, 'lr2': 1e-05, 'scales': 5, 'gamma': 0.0001291549665014884, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'initial_iterations': 5000, 'iterations': 2500}}
         7             Learned PD (0.1%)  validation part 0:5  mean: {psnr: 28.65, ssim: 0.8779}   {'hp_choice': {'lr1': 0.001, 'lr2': 1e-05, 'scales': 5, 'gamma': 0.0001291549665014884, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'initial_iterations': 5000, 'iterations': 3000}}
         8             Learned PD (0.1%)  validation part 0:5  mean: {psnr: 28.62, ssim: 0.8767}   {'hp_choice': {'lr1': 0.001, 'lr2': 1e-05, 'scales': 5, 'gamma': 0.0001291549665014884, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'initial_iterations': 5000, 'iterations': 3500}}
         9             Learned PD (0.1%)  validation part 0:5   mean: {psnr: 28.6, ssim: 0.8757}   {'hp_choice': {'lr1': 0.001, 'lr2': 1e-05, 'scales': 5, 'gamma': 0.0001291549665014884, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'initial_iterations': 5000, 'iterations': 4000}}
         10            Learned PD (0.1%)  validation part 0:5  mean: {psnr: 28.55, ssim: 0.8738}   {'hp_choice': {'lr1': 0.001, 'lr2': 1e-05, 'scales': 5, 'gamma': 0.0001291549665014884, 'channels': (128, 128, 128, 128, 128), 'skip_channels': (0, 0, 0, 0, 0), 'initial_iterations': 5000, 'iterations': 5000}}
